id_region	name
2	MEDELLÍN
2	ABEJORRAL
2	ABRIAQUÍ
2	ALEJANDRÍA
2	AMAGÁ
2	AMALFI
2	ANDES
2	ANGELÓPOLIS
2	ANGOSTURA
2	ANORÍ
2	SANTA FÉ DE 2
2	ANZÁ
2	APARTADÓ
2	ARBOLETES
2	ARGELIA
2	ARMENIA
2	BARBOSA
2	BELMIRA
2	BELLO
2	BETANIA
2	BETULIA
2	CIUDAD 7
2	BRICEÑO
2	BURITICÁ
2	CÁCERES
2	CAICEDO
2	9
2	CAMPAMENTO
2	CAÑASGORDAS
2	CARACOLÍ
2	CARAMANTA
2	CAREPA
2	EL CARMEN DE VIBORAL
2	CAROLINA
2	12SIA
2	CHIGORODÓ
2	CISNEROS
2	COCORNÁ
2	CONCEPCIÓN
2	CONCORDIA
2	COPACABANA
2	DABEIBA
2	DONMATÍAS
2	EBÉJICO
2	EL BAGRE
2	ENTRERRÍOS
2	ENVIGADO
2	FREDONIA
2	FRONTINO
2	GIRALDO
2	GIRARDOTA
2	GÓMEZ PLATA
2	GRANADA
2	GUADALUPE
2	GUARNE
2	GUATAPÉ
2	HELICONIA
2	HISPANIA
2	ITAGÜÍ
2	ITUANGO
2	JARDÍN
2	JERICÓ
2	LA CEJA
2	LA ESTRELLA
2	LA PINTADA
2	LA UNIÓN
2	LIBORINA
2	MACEO
2	MARINILLA
2	MONTEBELLO
2	MURINDÓ
2	MUTATÁ
2	23
2	NECOCLÍ
2	NECHÍ
2	OLAYA
2	PEÑOL
2	PEQUE
2	PUEBLORRICO
2	PUERTO BERRÍO
2	PUERTO NARE
2	PUERTO TRIUNFO
2	REMEDIOS
2	RETIRO
2	RIONEGRO
2	SABANALARGA
2	SABANETA
2	SALGAR
2	SAN ANDRÉS DE CUERQUÍA
2	SAN CARLOS
2	SAN FRANCISCO
2	SAN JERÓNIMO
2	SAN JOSÉ DE LA MONTAÑA
2	SAN JUAN DE URABÁ
2	SAN LUIS
2	SAN PEDRO DE LOS MILAGROS
2	SAN PEDRO DE URABÁ
2	SAN RAFAEL
2	SAN ROQUE
2	SAN VICENTE FERRER
2	SANTA BÁRBARA
2	SANTA ROSA DE OSOS
2	SANTO DOMINGO
2	EL SANTUARIO
2	SEGOVIA
2	SONSÓN
2	SOPETRÁN
2	TÁMESIS
2	TARAZÁ
2	TARSO
2	TITIRIBÍ
2	TOLEDO
2	TURBO
2	URAMITA
2	URRAO
2	VALDIVIA
2	VALPARAÍSO
2	VEGACHÍ
2	VENECIA
2	VIGÍA DEL FUERTE
2	YALÍ
2	YARUMAL
2	YOLOMBÓ
2	YONDÓ
2	ZARAGOZA
5	BARRANQUILLA
5	BARANOA
5	CAMPO DE LA CRUZ
5	CANDELARIA
5	GALAPA
5	JUAN DE ACOSTA
5	LURUACO
5	MALAMBO
5	MANATÍ
5	PALMAR DE VARELA
5	PIOJÓ
5	POLONUEVO
5	PONEDERA
5	PUERTO COLOMBIA
5	REPELÓN
5	SABANAGRANDE
5	SABANALARGA
5	SANTA LUCÍA
5	SANTO TOMÁS
5	SOLEDAD
5	SUAN
5	TUBARÁ
5	USIACURÍ
6	BOGOTÁ, D.C.
7	CARTAGENA DE INDIAS
7	ACHÍ
7	ALTOS DEL ROSARIO
7	ARENAL
7	ARJONA
7	ARROYOHONDO
7	BARRANCO DE LOBA
7	CALAMAR
7	CANTAGALLO
7	CICUCO
7	15
7	CLEMENCIA
7	EL CARMEN DE 7
7	EL GUAMO
7	EL PEÑÓN
7	HATILLO DE LOBA
7	MAGANGUÉ
7	MAHATES
7	MARGARITA
7	MARÍA LA BAJA
7	MONTECRISTO
7	MOMPÓS
7	MORALES
7	NOROSÍ
7	PINILLOS
7	REGIDOR
7	RÍO VIEJO
7	SAN CRISTÓBAL
7	SAN ESTANISLAO
7	SAN FERNANDO
7	SAN JACINTO
7	SAN JACINTO DEL 12
7	SAN JUAN NEPOMUCENO
7	SAN MARTÍN DE LOBA
7	SAN PABLO
7	SANTA CATALINA
7	SANTA ROSA
7	SANTA ROSA DEL SUR
7	SIMITÍ
7	SOPLAVIENTO
7	TALAIGUA NUEVO
7	TIQUISIO
7	TURBACO
7	TURBANÁ
7	VILLANUEVA
7	ZAMBRANO
8	TUNJA
8	ALMEIDA
8	AQUITANIA
8	ARCABUCO
8	BELÉN
8	BERBEO
8	BETÉITIVA
8	BOAVITA
8	8
8	BRICEÑO
8	BUENAVISTA
8	BUSBANZÁ
8	9
8	CAMPOHERMOSO
8	CERINZA
8	CHINAVITA
8	CHIQUINQUIRÁ
8	CHISCAS
8	CHITA
8	CHITARAQUE
8	CHIVATÁ
8	CIÉNEGA
8	CÓMBITA
8	COPER
8	CORRALES
8	COVARACHÍA
8	CUBARÁ
8	CUCAITA
8	CUÍTIVA
8	CHÍQUIZA
8	CHIVOR
8	DUITAMA
8	EL COCUY
8	EL ESPINO
8	FIRAVITOBA
8	FLORESTA
8	GACHANTIVÁ
8	GÁMEZA
8	GARAGOA
8	GUACAMAYAS
8	GUATEQUE
8	GUAYATÁ
8	GÜICÁN DE LA SIERRA
8	IZA
8	JENESANO
8	JERICÓ
8	LABRANZAGRANDE
8	LA CAPILLA
8	LA VICTORIA
8	LA UVITA
8	VILLA DE LEYVA
8	MACANAL
8	MARIPÍ
8	MIRAFLORES
8	MONGUA
8	MONGUÍ
8	MONIQUIRÁ
8	MOTAVITA
8	MUZO
8	NOBSA
8	NUEVO COLÓN
8	OICATÁ
8	OTANCHE
8	PACHAVITA
8	PÁEZ
8	PAIPA
8	PAJARITO
8	PANQUEBA
8	PAUNA
8	PAYA
8	PAZ DE RÍO
8	PESCA
8	PISBA
8	PUERTO 8
8	QUÍPAMA
8	RAMIRIQUÍ
8	RÁQUIRA
8	RONDÓN
8	SABOYÁ
8	SÁCHICA
8	SAMACÁ
8	SAN EDUARDO
8	SAN JOSÉ DE PARE
8	SAN LUIS DE GACENO
8	SAN MATEO
8	SAN MIGUEL DE SEMA
8	SAN PABLO DE BORBUR
8	SANTANA
8	SANTA MARÍA
8	SANTA ROSA DE VITERBO
8	SANTA SOFÍA
8	SATIVANORTE
8	SATIVASUR
8	SIACHOQUE
8	SOATÁ
8	SOCOTÁ
8	SOCHA
8	SOGAMOSO
8	SOMONDOCO
8	SORA
8	SOTAQUIRÁ
8	SORACÁ
8	SUSACÓN
8	SUTAMARCHÁN
8	SUTATENZA
8	TASCO
8	TENZA
8	TIBANÁ
8	TIBASOSA
8	TINJACÁ
8	TIPACOQUE
8	TOCA
8	TOGÜÍ
8	TÓPAGA
8	TOTA
8	TUNUNGUÁ
8	TURMEQUÉ
8	TUTA
8	TUTAZÁ
8	ÚMBITA
8	VENTAQUEMADA
8	VIRACACHÁ
8	ZETAQUIRA
9	MANIZALES
9	AGUADAS
9	ANSERMA
9	ARANZAZU
9	BELALCÁZAR
9	CHINCHINÁ
9	FILADELFIA
9	LA DORADA
9	LA MERCED
9	MANZANARES
9	MARMATO
9	MARQUETALIA
9	MARULANDA
9	NEIRA
9	NORCASIA
9	PÁCORA
9	PALESTINA
9	PENSILVANIA
9	RIOSUCIO
9	27
9	SALAMINA
9	SAMANÁ
9	SAN JOSÉ
9	SUPÍA
9	VICTORIA
9	VILLAMARÍA
9	VITERBO
10	FLORENCIA
10	ALBANIA
10	BELÉN DE LOS ANDAQUÍES
10	CARTAGENA DEL CHAIRÁ
10	CURILLO
10	EL DONCELLO
10	EL PAUJÍL
10	LA MONTAÑITA
10	MILÁN
10	MORELIA
10	PUERTO RICO
10	SAN JOSÉ DEL FRAGUA
10	SAN VICENTE DEL CAGUÁN
10	SOLANO
10	SOLITA
10	VALPARAÍSO
12	POPAYÁN
12	ALMAGUER
12	ARGELIA
12	BALBOA
12	7
12	BUENOS AIRES
12	CAJIBÍO
12	CALDONO
12	CALOTO
12	CORINTO
12	EL TAMBO
12	FLORENCIA
12	GUACHENÉ
12	GUAPÍ
12	INZÁ
12	JAMBALÓ
12	LA SIERRA
12	LA VEGA
12	LÓPEZ DE MICAY
12	MERCADERES
12	MIRANDA
12	MORALES
12	PADILLA
12	PÁEZ
12	PATÍA
12	PIAMONTE
12	PIENDAMÓ
12	PUERTO TEJADA
12	PURACÉ
12	ROSAS
12	SAN SEBASTIÁN
12	28 DE QUILICHAO
12	SANTA ROSA
12	SILVIA
12	SOTARA
12	SUÁREZ
12	29
12	TIMBÍO
12	TIMBIQUÍ
12	TORIBÍO
12	TOTORÓ
12	VILLA RICA
13	VALLEDUPAR
13	AGUACHICA
13	AGUSTÍN CODAZZI
13	ASTREA
13	BECERRIL
13	BOSCONIA
13	CHIMICHAGUA
13	CHIRIGUANÁ
13	CURUMANÍ
13	EL COPEY
13	EL PASO
13	GAMARRA
13	GONZÁLEZ
13	LA GLORIA
13	LA JAGUA DE IBIRICO
13	MANAURE BALCÓN DEL 13
13	PAILITAS
13	PELAYA
13	PUEBLO BELLO
13	RÍO DE ORO
13	LA PAZ
13	SAN ALBERTO
13	SAN DIEGO
13	SAN MARTÍN
13	TAMALAMEQUE
15	MONTERÍA
15	AYAPEL
15	BUENAVISTA
15	CANALETE
15	CERETÉ
15	CHIMÁ
15	CHINÚ
15	CIÉNAGA DE ORO
15	COTORRA
15	LA APARTADA
15	LORICA
15	LOS 15S
15	MOMIL
15	MONTELÍBANO
15	MOÑITOS
15	PLANETA RICA
15	PUEBLO NUEVO
15	PUERTO ESCONDIDO
15	PUERTO LIBERTADOR
15	PURÍSIMA DE LA CONCEPCIÓN
15	SAHAGÚN
15	SAN ANDRÉS DE SOTAVENTO
15	SAN ANTERO
15	SAN BERNARDO DEL VIENTO
15	SAN CARLOS
15	SAN JOSÉ DE URÉ
15	SAN PELAYO
15	TIERRALTA
15	TUCHÍN
15	VALENCIA
16	AGUA DE DIOS
16	ALBÁN
16	ANAPOIMA
16	ANOLAIMA
16	ARBELÁEZ
16	BELTRÁN
16	BITUIMA
16	BOJACÁ
16	CABRERA
16	CACHIPAY
16	CAJICÁ
16	CAPARRAPÍ
16	CÁQUEZA
16	CARMEN DE CARUPA
16	CHAGUANÍ
16	CHÍA
16	CHIPAQUE
16	CHOACHÍ
16	CHOCONTÁ
16	COGUA
16	COTA
16	CUCUNUBÁ
16	EL COLEGIO
16	EL PEÑÓN
16	EL ROSAL
16	FACATATIVÁ
16	FÓMEQUE
16	FOSCA
16	FUNZA
16	FÚQUENE
16	FUSAGASUGÁ
16	GACHALÁ
16	GACHANCIPÁ
16	GACHETÁ
16	GAMA
16	GIRARDOT
16	GRANADA
16	GUACHETÁ
16	GUADUAS
16	GUASCA
16	GUATAQUÍ
16	GUATAVITA
16	GUAYABAL DE SÍQUIMA
16	GUAYABETAL
16	GUTIÉRREZ
16	JERUSALÉN
16	JUNÍN
16	LA CALERA
16	LA MESA
16	LA PALMA
16	LA PEÑA
16	LA VEGA
16	LENGUAZAQUE
16	MACHETÁ
16	MADRID
16	MANTA
16	MEDINA
16	MOSQUERA
16	23
16	NEMOCÓN
16	NILO
16	NIMAIMA
16	NOCAIMA
16	VENECIA
16	PACHO
16	PAIME
16	PANDI
16	PARATEBUENO
16	PASCA
16	PUERTO SALGAR
16	PULÍ
16	QUEBRADANEGRA
16	QUETAME
16	QUIPILE
16	APULO
16	RICAURTE
16	SAN ANTONIO DEL TEQUENDAMA
16	SAN BERNARDO
16	SAN CAYETANO
16	SAN FRANCISCO
16	SAN JUAN DE RIOSECO
16	SASAIMA
16	SESQUILÉ
16	SIBATÉ
16	SILVANIA
16	SIMIJACA
16	SOACHA
16	SOPÓ
16	SUBACHOQUE
16	SUESCA
16	SUPATÁ
16	SUSA
16	SUTATAUSA
16	TABIO
16	TAUSA
16	TENA
16	TENJO
16	TIBACUY
16	TIBIRITA
16	TOCAIMA
16	TOCANCIPÁ
16	TOPAIPÍ
16	UBALÁ
16	UBAQUE
16	VILLA DE SAN DIEGO DE UBATÉ
16	UNE
16	ÚTICA
16	VERGARA
16	VIANÍ
16	VILLAGÓMEZ
16	VILLAPINZÓN
16	VILLETA
16	VIOTÁ
16	YACOPÍ
16	ZIPACÓN
16	ZIPAQUIRÁ
14	QUIBDÓ
14	ACANDÍ
14	ALTO BAUDÓ
14	ATRATO
14	BAGADÓ
14	BAHÍA SOLANO
